Iteration,Confidence Score,x_min,y_min,x_max,y_max,Label
1080,0.3,875,327,1351,548,car
1081,0.47657964,922,332,1400,560,car
1082,0.45956123,975,338,1433,573,car
1083,0.45326185,1028,344,1432,581,car
1084,0.49331707,1082,351,1434,575,car
1085,0.4508429,1138,363,1433,567,car
1086,0.3,1192,372,1433,571,car
1087,0.3,1246,381,1433,575,car
1088,0.45326185,1300,391,1433,580,car
1089,0.3,1300,388,1432,575,car
1090,0.3,1301,386,1432,570,car
1091,0.3,1301,384,1432,566,car
1092,0.3,1302,382,1432,561,car
1093,0.3,1303,380,1432,556,car
1094,0.3,1303,378,1432,552,car
1095,0.3,1304,375,1432,547,car
1096,0.3,1305,373,1432,542,car
1097,0.3,1305,371,1432,538,car
1098,0.3,1306,369,1432,533,car
1099,0.3,1307,367,1432,528,car
1100,0.3,1307,365,1432,524,car
1101,0.3,1308,362,1432,519,car
1102,0.3,1309,360,1432,515,car
1103,0.3,1309,358,1432,510,car
1104,0.3,1310,356,1432,505,car
1105,0.3,1310,354,1432,501,car
1106,0.3,1311,352,1432,496,car
1107,0.3,1312,349,1432,491,car
1108,0.3,1312,347,1432,487,car
1109,0.3,1313,345,1432,482,car
1110,0.3,1314,343,1431,477,car
1111,0.3,1314,341,1431,473,car
1112,0.3,1315,339,1431,468,car
1113,0.3,1316,336,1431,463,car
1114,0.3,1316,334,1431,459,car
1115,0.3,1317,332,1431,454,car
1116,0.3,1318,330,1431,450,car
1117,0.3,1318,328,1431,445,car
1118,0.3,1319,326,1431,440,car
1119,0.3,1319,323,1431,436,car
1120,0.3,1320,321,1431,431,car
1121,0.3,1321,319,1431,426,car
1122,0.3,1321,317,1431,422,car
1123,0.3,1322,315,1431,417,car
1124,0.3,1323,313,1431,412,car
1125,0.3,1323,310,1431,408,car
1126,0.3,1324,308,1431,403,car
1127,0.3,1325,306,1431,398,car
1128,0.3,1325,304,1431,394,car
1129,0.3,1326,302,1431,389,car
1130,0.45423004,1327,300,1431,385,car
1131,0.3,1284,301,1391,388,car
1132,0.3,1241,303,1352,391,car
1133,0.3,1198,305,1313,395,car
1134,0.3,1155,307,1274,398,car
1135,0.3,1112,308,1235,402,car
1136,0.3,1069,310,1195,405,car
1137,0.3,1026,312,1156,409,car
1138,0.3,983,314,1117,412,car
1139,0.3,940,315,1078,415,car
1140,0.3,897,317,1039,419,car
1141,0.3,854,319,1000,422,car
1142,0.3,811,321,960,426,car
1143,0.3,768,322,921,429,car
1144,0.3,725,324,882,433,car
1145,0.3,682,326,843,436,car
1146,0.3,639,328,804,439,car
1147,0.3,596,329,764,443,car
1148,0.3,552,331,725,446,car
1149,0.3,510,333,686,450,car
1150,0.3,467,335,647,453,car
1151,0.3,424,336,608,457,car
1152,0.3,381,338,569,460,car
1153,0.3,338,340,529,463,car
1154,0.3,295,342,490,467,car
1155,0.3,252,343,451,470,car
1156,0.3,209,345,412,474,car
1157,0.3,166,347,373,477,car
1158,0.4649016,123,349,334,481,car
1159,0.3,138,350,354,486,car
1160,0.4559252,154,351,375,492,car
1161,0.49066275,163,350,429,497,car
1162,0.4873074,177,350,431,503,car
1163,0.48133188,188,351,450,508,car
1164,0.46344426,203,355,481,515,car
1165,0.49493426,218,353,514,524,car
1166,0.5162296,234,352,548,532,car
1167,0.5117776,253,350,586,542,car
1168,0.5165954,273,351,626,551,car
1169,0.53266823,294,351,672,562,car
1170,0.49301195,316,354,718,574,car
1171,0.4860266,341,355,771,587,car
1172,0.5090932,371,355,827,600,car
1173,0.47584885,402,359,883,616,car
1174,0.4696419,437,363,950,631,car
1175,0.47377896,476,366,1019,651,car
1176,0.52378577,518,368,1094,674,car
1177,0.3,564,373,1160,692,car
1178,0.4726835,610,378,1226,711,wheel
1179,0.4627158,673,386,1299,733,wheel
1180,0.4513265,728,396,1382,751,wheel
1181,0.47450942,809,439,1415,776,wheel
1182,0.3,808,438,1414,774,wheel
1183,0.3,808,437,1413,773,wheel
1184,0.3,808,437,1412,772,wheel
1185,0.3,808,436,1411,771,wheel
1186,0.3,808,435,1410,769,wheel
1187,0.3,808,435,1409,768,wheel
1188,0.3,808,434,1409,767,wheel
1189,0.3,808,433,1408,766,wheel
1190,0.3,808,433,1407,764,wheel
1191,0.3,808,432,1406,763,wheel
1192,0.3,808,431,1405,762,wheel
1193,0.3,807,431,1404,761,wheel
1194,0.3,807,430,1403,760,wheel
1195,0.3,807,429,1403,758,wheel
1196,0.3,807,429,1402,757,wheel
1197,0.3,807,428,1401,756,wheel
1198,0.3,807,427,1400,755,wheel
1199,0.3,807,427,1399,753,wheel
1200,0.3,807,426,1398,752,wheel
1201,0.3,807,425,1397,751,wheel
1202,0.3,807,425,1397,750,wheel
1203,0.3,807,424,1396,748,wheel
1204,0.3,806,423,1395,747,wheel
1205,0.3,806,423,1394,746,wheel
1206,0.3,806,422,1393,745,wheel
1207,0.3,806,421,1392,744,wheel
1208,0.3,806,421,1391,742,wheel
1209,0.3,806,420,1391,741,wheel
1210,0.3,806,419,1390,740,wheel
1211,0.3,806,419,1389,739,wheel
1212,0.3,806,418,1388,737,wheel
1213,0.3,806,417,1387,736,wheel
1214,0.3,806,417,1386,735,wheel
1215,0.3,806,416,1385,734,wheel
1216,0.3,805,415,1385,733,wheel
1217,0.3,805,415,1384,731,wheel
1218,0.3,805,414,1383,730,wheel
1219,0.3,805,413,1382,729,wheel
1220,0.3,805,413,1381,728,wheel
1221,0.3,805,412,1380,726,wheel
1222,0.3,805,411,1379,725,wheel
1223,0.3,805,411,1379,724,wheel
1224,0.3,805,410,1378,723,wheel
1225,0.3,805,409,1377,721,wheel
1226,0.3,805,409,1376,720,wheel
1227,0.3,804,408,1375,719,wheel
1228,0.3,804,408,1374,718,wheel
1229,0.3,804,407,1373,717,wheel
1230,0.3,804,406,1373,715,wheel
1231,0.3,804,406,1372,714,wheel
1232,0.3,804,405,1371,713,wheel
1233,0.3,804,404,1370,712,wheel
1234,0.3,804,404,1369,710,wheel
1235,0.3,804,403,1368,709,wheel
1236,0.3,804,402,1368,708,wheel
1237,0.3,804,402,1367,707,wheel
1238,0.3,803,401,1366,706,wheel
1239,0.3,803,400,1365,704,wheel
1240,0.3,803,400,1364,703,wheel
1241,0.3,803,399,1363,702,wheel
1242,0.3,803,398,1362,701,wheel
1243,0.3,803,398,1362,699,wheel
1244,0.3,803,397,1361,698,wheel
1245,0.3,803,396,1360,697,wheel
1246,0.3,803,396,1359,696,wheel
1247,0.3,803,395,1358,694,wheel
1248,0.3,803,394,1357,693,wheel
1249,0.3,803,394,1356,692,wheel
1250,0.3,802,393,1356,691,wheel
1251,0.3,802,392,1355,690,wheel
1252,0.3,802,392,1354,688,wheel
1253,0.3,802,391,1353,687,wheel
1254,0.3,802,390,1352,686,wheel
1255,0.3,802,390,1351,685,wheel
1256,0.3,802,389,1350,683,wheel
1257,0.3,802,388,1350,682,wheel
1258,0.3,802,388,1349,681,wheel
1259,0.3,802,387,1348,680,wheel
1260,0.3,802,386,1347,678,wheel
1261,0.3,801,386,1346,677,wheel
1262,0.3,801,385,1345,676,wheel
1263,0.3,801,384,1344,675,wheel
1264,0.3,801,384,1344,674,wheel
1265,0.3,801,383,1343,672,wheel
1266,0.3,801,382,1342,671,wheel
